song_id,title,current_level,tester,severity,finding,recommended_action
S003,极夜行,7,QA02,high,中后段1:08-1:18有连续16分音符同轨连打，间隔不到120ms，实测新手在这段几乎必断连击。这段的单轨压力远超7级谱面正常范围，感觉像在做9级谱面的手速要求。,建议上调至9级，或保留7级但削薄同轨连打段的密度
S003,极夜行,7,QA04,high,同轨连打密度0.067远高于同等级均值0.035附近，而且这段变轨前没有缓冲，直接从分散音型切到集中连打，对读谱也不友好。,建议上调至9级，或保留7级但削薄同轨连打段的密度
S003,极夜行,7,QA01,medium,整体谱面后半段疲劳度明显偏高，NPS峰值16.5出现在连打段，配合SV变化让节奏感更难抓。,建议上调至9级，或保留7级但削薄同轨连打段的密度
S009,烈焰风暴,10,QA01,medium,全曲节奏模式非常统一，主体是8分音符交替+少量16分填充，重复段落占了全曲约65%。虽然总音符数多但实际读谱压力不大，就是个体力谱。,建议下调至8级或9级
S009,烈焰风暴,10,QA02,medium,我作为中段位玩家居然能打到88%准确率，这在10级谱面里不太常见。对比同等级的其他谱面明显感觉这个偏简单。,建议下调至8级或9级
S009,烈焰风暴,10,QA03,low,只有一段加速段（1:42-1:50）稍微有点压力，其余部分都是'看起来吓人但打起来顺手'的状态。感觉最多是个强8级弱9级。,建议下调至8级或9级
S009,烈焰风暴,10,QA04,medium,谱面设计没问题，但标级确实偏高。同样的节奏密度在其他音游（参考osu!mania 4K）一般在4.2-4.5星左右，对应我们体系大概8-9级。,建议下调至8级或9级
S011,暗影突袭,10,QA01,high,前奏就有高速双押+切轨，0:12-0:18直接进入高密度jack段，连我都有一次失误。谱面门槛很高，新手几乎没有适应期。,建议上调至11级
S011,暗影突袭,10,QA02,high,中段变速三次，每次变速后都是密集连打，节奏切换频繁。黄金段位通关率只有20%，说明这个标级明显低估了实际操作难度。,建议上调至11级
S011,暗影突袭,10,QA04,high,jack_density_16th=0.092，chord_ratio=0.45，这两项数值在10级谱面中都偏高。跟同等级的S030对比，S030 jack密度才0.070。,建议上调至11级
S016,熔岩之心,11,QA01,medium,全程体力消耗大但技术门槛不算极端，没有特别难读的段落。实际上我两次就FC了。,建议下调至10级
S016,熔岩之心,11,QA04,medium,钻石段位通关率28%、平均准确率65%，比同类11级谱面（S013通关率18%、S029通关率22%）明显偏高。标11级可能不太合理，10级更合适。,建议下调至10级
S020,量子跃迁,12,QA01,low,名副其实的12级，0:30-0:45连续三押+四押+变速组合，我打了五次才过。是所有谱面里最难的。,维持12级不变
S020,量子跃迁,12,QA04,low,各项指标都在12级合理范围内，chord_ratio=0.50，NPS峰值22.8虽然很高但分布合理，没有突兀的难度尖刺。标级合理。,维持12级不变
S026,断罪之花,12,QA01,medium,开篇就上高速连打，0:05-0:22不间断地16分双押+切轨，没有热身段。虽然整体难度够12级，但起手门槛设置得偏高了。,维持12级，但建议调整开头段的节奏梯度
S026,断罪之花,12,QA04,low,jack密度0.095略低于S041的0.112和S046的0.098，实际手感比S041容易一些。放在12级是可以的。,维持12级，但建议调整开头段的节奏梯度
S029,脉冲新星,11,QA01,high,变速多达6次且每次变速后立即进入复杂音型，读谱难度在11级谱面中偏高。,建议上调至12级
S029,脉冲新星,11,QA03,high,打了八次还没过，中间两段连打变速每次都会断。,建议上调至12级
S029,脉冲新星,11,QA04,high,sv_change_count=6，reading_complexity=0.70，两项都在11级里偏高。结合钻石段位通关率只有22%，这个更像是12级的下限。,建议上调至12级
S034,烈焰焚天,12,QA01,medium,音符总数多但节奏重复度高，主体段落就是8分双押循环，缺乏变化。虽然是12级但实际挑战性不如S020和S041，钻石段位通关率10%其实说明门槛设得不够。,建议下调至11级
S034,烈焰焚天,12,QA04,medium,avg_nps=9.99比S041的10.52和S046的10.58都低，chord_ratio=0.44也不如另外两个12级。建议考虑下调至11级。,建议下调至11级
S041,雷霆之怒,12,QA01,medium,峰值NPS 23.5全批最高，变速10次读谱压力极大。钻石段位通关率只有5%，这个谱面即使放在12级里也是顶尖难度。,维持12级不变
S041,雷霆之怒,12,QA04,low,各项指标都在12级顶端合理范围，标级正确。,维持12级不变
S046,狂怒之锤,12,QA01,low,和S041类似，12级里的上位难度。NPS峰值21.5虽然不如S041但jack密度和chord密度组合起来体感还是很难。,维持12级不变
S046,狂怒之锤,12,QA04,low,标级正确。,维持12级不变
S007,雷霆万钧,9,QA02,low,全程高能耗，中间没有明显休息段。作为9级谱面对体力要求偏高，但技术层面确实不到10级。标级可以接受。,维持9级不变
S007,雷霆万钧,9,QA04,low,chord_ratio=0.42在9级里偏高但还没到需要调级的程度。建议增加QA备注说明体力要求，但标级维持。,维持9级不变
S013,风暴之眼,11,QA04,low,chord_ratio=0.48偏高但jack_density=0.098在11级合理范围。整体标级正确。,维持11级不变
S021,混沌之序,11,QA02,low,中段1:05-1:20有一个连续16分切轨段，和S003的中后段连打问题类似。不过因为整体标11级，这段的难度没有“越级”的感觉。,维持11级不变
S021,混沌之序,11,QA04,low,标级合理，虽然个别段落偏难但整体匹配11级。,维持11级不变
S025,逆光飞行,3,QA03,medium,作为3级谱面太简单了，连新手引导谱面都比这个有挑战性。基本就是单轨单音。建议至少2级。,建议下调至2级
S025,逆光飞行,3,QA04,medium,avg_nps才5.12，jack密度0.008基本没有连打，chord_ratio=0.12几乎没有双押。在1-12等级体系中做3级偏高了，建议2级。,建议下调至2级
S032,雷鸣之夜,9,QA01,high,1:12-1:28有连续16分双押段，手速要求不输10级谱面S044。黄金段位通关率只有38%，跟S009（标10级但偏简单）的黄金通关率25%相比，S032明显更难。,建议上调至10级
S032,雷鸣之夜,9,QA04,high,"jack_density=0.082, chord_ratio=0.44，两项都在9级里异常偏高。跟同等级S007（chord_ratio=0.42,jack=0.085）接近，但S007的SV变化更多分散了密度，S032更集中。建议上调至10级。",建议上调至10级
